# malformed — files_touched far past any real repo (400 digits). Unbounded,
# it reached mean() and raised OverflowError, exiting 1: the ALARM code on a
# history whose real verdict is 0. Bounded at MAX_FILES it exits 2.
b0	9999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999
b1	2
b2	2
b3	2
b4	2
b5	2
b6	2
b7	2
b8	2
b9	2
r0	2
r1	2
r2	2
r3	2
r4	2
